checkpoint_id,checkpoint_name,checkpoint_slug,checkpoint_type,checkpoint_pattern,status,status_description,is_functional,is_published,working_time,latitude,longitude,address,subject_name,federal_district,foreign_country,foreign_checkpoint,transport_corridor,checkpoint_note,near_checkpoint_condition,checkpoint_working_mode_id,checkpoint_direction_id,branch_name,branch_phone,branch_email,branch_address,branch_working_time,branch_slug,source,confidence_level,last_updated
391,Мариуполь,mariupol,Морской пункт пропуска,Грузовой,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",False,True,,55,55,г. Мариуполь,Донецкая Народная Республика,Южный,,,Не является признаком отнесения к МТК,,0,3,1,Ростовский филиал,+7(863)203-65-98,odp-rnd@rosgranstroy.ru,"344068, г. Ростов-на-Дону, пр.Михаила Нагибина д 30И, 4 этаж, комната 404","График приема граждан:  Директор филиала – первый, третий понедельник каждого месяца с 10.00−13.00.  начальник отдела по административной работе филиала – второй, четвертый понедельник каждого месяца с 10.00−13.00.  начальник отдела по эксплуатации и обслуживанию филиала – первая, третья среда каждого месяца с 10.00−13.00.  начальник отдела по строительству филиала – вторая, четвертая среда каждого месяца с 10.00−13.00.",rostovskiy,https://rosgranstroy.ru/api/map_data,high,2025-11-28T07:11:24.000000Z
21,Астрахань,20,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.360711,48.037058,"Астраханская область, г. Астрахань,  улица Мосина, 1а, Набережная Приволжского затона, 20",Астраханская область,Южный,,,Север-Юг,,0,3,5,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-25T13:55:25.000000Z
22,Астрахань (Нариманово),21,Воздушный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.287118,47.999856,"414018, г. Астрахань, Аэропортовский проезд, 1",Астраханская область,Южный,,,Не является признаком отнесения к МТК,,0,3,1,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-25T13:54:03.000000Z
55,Верхний Баскунчак,54,Железнодорожный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.724082,48.22708,"Астраханская область, Ахтубинский район, поселок Верхний Баскунчак, железнодорожная станция Верхний Баскунчак",Астраханская область,Южный,Казахстан,Сайхин,Не является признаком отнесения к МТК,,0,3,1,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-23T14:35:17.000000Z
133,Караузек,132,Автомобильный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.545927,48.637239,"Астраханская область, Красноярский район, 0,3 км восточнее с. Караозек, 53 км автомобильной дороги Б. Сентовка -Ватажное - граница Республики Казахстан",Астраханская область,Южный,Казахстан,Курмангазы,Не является признаком отнесения к МТК,,0,3,1,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-16T13:27:39.000000Z
232,Оля,231,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,45.784045,47.547579,"Астраханская область, Лиманский район, с.Оля, ул.Чкалова, д.26, Каспийское море",Астраханская область,Южный,,,Север-Юг,,0,3,5,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2026-02-18T13:46:29.000000Z
8,Аксарайский,7,Железнодорожный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.7337,48.0892,"Астраханская область,  Красноярский район, территория в пределах пограничных железнодорожных станций Аксарайская, Аксарайкая-2 и в соответствии с географическими координатами, утвержденными приказом Минтранса России от 20.02.2017 № 61",Астраханская область,Южный,Казахстан,Ганюшкино,Не является признаком отнесения к МТК,,0,3,1,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-26T13:46:46.000000Z
295,Симферополь,294,Железнодорожный пункт пропуска,Грузо-пассажирский,Двусторонний,"для пересечения государственной границы Российской Федерации гражданами, в том числе в упрощенном порядке, и транспортными средствами Российской Федерации и сопредельного государства, а также для перемещения через государственную границу Российской Федерации грузов, товаров и животных только Российской Федерации и сопредельного государства",False,False,,44.961745,34.082217,Российская федерация,Республика Крым,Южный,,,Не является признаком отнесения к МТК,,0,3,1,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2025-08-01T09:40:33.000000Z
90,Джанкой,89,Железнодорожный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,45.709549,34.387751,"296100, Республика Крым, г. Джанкой, ул. Крымская, 44",Республика Крым,Южный,,,Северо-Запад,,0,3,6,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-17T13:42:21.000000Z
247,Перекоп,246,Автомобильный пункт пропуска,Грузо-пассажирский,Двусторонний,"для пересечения государственной границы Российской Федерации гражданами, в том числе в упрощенном порядке, и транспортными средствами Российской Федерации и сопредельного государства, а также для перемещения через государственную границу Российской Федерации грузов, товаров и животных только Российской Федерации и сопредельного государства",True,True,Круглосуточно,46.215373,33.633651,"Республика Крым, Автомобильная дорога общего пользования регионального значения 350П Р3 35А-001 «Симферополь Красноперекопск - граница с Херсонской областью «144 км+000, на территории Красноперекопского района",Республика Крым,Южный,,,Северо-Запад,,0,3,6,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-17T13:53:14.000000Z
